,following,len_name,num_tweets,screen_name
383,487,6,42006,T_Osho
384,2024,7,188162,bolu_ay
385,242,11,1603,JoshTabansi
386,1350,7,150425,kayodea
387,962,13,180398,Headphoneslaw
388,359,11,19086,Muazzam_Dgn
389,605,14,102016,TheBlackHermit
390,1256,9,75758,SeyiAlake
391,847,14,58304,aasiyahjasmine
392,1459,14,73879,SonariwoOnDeck
393,16,10,57507,Rumi_Quote
394,553,15,223,nowahalastories
395,555,10,13070,Titilola__
396,786,15,67898,AdviceToWriters
397,111,11,118151,ansatsu_sha
398,215,13,59683,Griffinreborn
399,2209,8,76705,hofrench
400,2647,12,6237,AndersonPaak
401,728,11,58546,MayowaIdowu
402,903,14,61866,iKillCuriosity
403,879,5,137350,Jollz
404,223,12,11815,folapinheiro
405,692,7,31816,EghosaO
406,495,8,18874,Kingwole
407,75,8,20176,Temisque
408,657,10,50327,ChineEzeks
409,623,7,20177,timigod
410,452,11,51618,OdunEweniyi
411,1553,13,167657,officiallyk10
412,1046,7,498992,AfroVII
413,473,13,3391,elnathan_john
414,168,15,2440,almitaa_bonitaa
415,2286,7,2051,siddhmi
416,68,12,3226,RobertGreene
417,13,10,4737,dailystoic
418,1384,8,15802,NewsomCA
419,604,8,13933,TrackaNG
420,2497,9,14664,MrExposed
421,281,13,28841,Serafina_Atta
422,618,9,7164,9jafoodie
423,119,10,554,wonu2sides
424,848,10,85785,ayosogunro
425,1682,9,81414,tundeleye
426,709,9,4960,Ephraimm_
427,698,14,117748,Damocleansword
428,640,11,31168,mickjenkins
429,1787,15,34885,Kitchnbutterfly
430,560,8,79185,eyooekpo
431,524,9,8008,adaobi_oe
432,128,8,53,adri1jnr
433,767,11,217,ImadMesdoua
434,365,15,13743,bryantlikekobe_
435,611,12,1288,Actionpoulet
436,686,11,86761,gidimeister
437,1811,14,33865,nicholasibekwe
438,1231,11,232719,manmustwack
439,13919,4,49616,Audu
440,1171,10,34846,JavierBlas
441,683,9,170919,iamforbes
442,1423,8,46811,Ms_Zelaa
443,574,8,20145,gsopitan
444,644,6,64404,AO1379
445,227,14,9115,Official_Ayraf
446,307,14,44447,VenturesAfrica
447,1261,8,482530,business
448,3100,12,18318,archittiwari
449,2552,10,368595,Echecrates
450,283,6,10627,qaywee
451,11,2,55875,0x
452,588,11,23562,Seunoduyale
453,290,11,37764,TravelNoire
454,89,10,135,gbenga_III
455,2374,11,173656,MetroBoomin
456,686,9,33429,aadetugbo
457,1786,12,154787,kenyanpundit
458,4041,11,60299,jeremyweate
459,0,13,11869,Bashorun_Adio
460,5056,11,27098,aminugamawa
461,1837,7,87988,BBoason
462,978,12,45948,TunjiAndrews
463,1087,15,70822,stanleyazuakola
464,668,8,101822,StanVito
465,988,15,44235,JibrinIbrahim17
466,1796,9,157754,TexTheLaw
467,1340,10,7714,seyitaylor
468,79,8,8422,elonmusk
469,2444,12,250188,cchukudebelu
470,58,12,1876,tundefashola
471,407,8,13300,SeyiAree
472,28,11,24,vtsereteli1
473,1414,10,102529,FailedRift
474,2737,8,62324,BudgITng
475,3087,13,69875,seunonigbinde
476,360,6,94532,_Nosa_
477,2,13,25001,OoTheNigerian
478,2304,12,149811,toluogunlesi
479,1259,6,115329,ugodre
480,2290,7,71244,Dolarpo
481,1961,10,13471,MaggieFick
482,2192,7,24148,CWallop
483,195,7,143535,_Kaelo_
484,468,10,32863,ChubaEzeks
485,6812,7,161960,asemota
486,6023,8,103337,iaboyeji
487,5744,8,101296,obyezeks
488,5414,11,64821,JohnBrewin_
489,59,14,79715,ManUtdInPidgin
490,190,13,37543,EatDrinkLagos
491,187,12,1255,akin_adesina
492,929,10,117700,WalleLawal
493,492,15,8739,afropolitanvibe
494,189,13,81559,NaijaFlyingDr
495,203,15,367,Fieldinsight_co
496,148,9,27749,BBGAfrica
497,335,9,5816,bhorowitz
498,2028,6,112781,afalli
499,436,12,5813,marko_protic
500,1521,9,283385,DoubleEph
501,216,8,1161,mrO4real
502,215,12,12397,tvpfumaneyi_
503,345,14,26329,thekidsamazing
504,493,12,3106,Uduak_Ekanem
505,268,9,2656,HibsAhmed
506,422,15,8407,officialtemibtm
507,3,12,1676,ChiliPeppers
508,1568,15,113207,_Abimbolaoshodi
509,769,9,53417,MrBankole
510,870,15,3465,MisterCompton92
511,232,7,2485,jvardon
512,97491,8,33887,WSHHFANS
513,516,10,15904,MAJORLAZER
514,5238,5,70683,diplo
515,187,6,0,hiunka
516,334,14,3209,CallMe_Bohnnie
517,398,13,15718,El_Don_Chichi
518,119,12,182747,TheEconomist
519,253,13,3543,maggierambles
520,166,10,13575,bini_magic
521,188,8,1389,feanyicy
522,611,6,6781,ljbans
523,190,8,1137,TofunwaA
524,1080,13,1768,LanreOyedotun
525,1015,14,21008,MelvinTaylorII
526,211,6,238,jwg15_
527,341,10,12621,ItsHimTega
528,1200,8,20827,dvmilola
529,131,6,54428,ManUtd
530,395,10,1311,Gjaimes007
531,771,7,2433,rasav21
532,335,13,4793,callmelizmael
533,482,13,8571,javierayala10
